,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
18,1120,32,Super cute and cozy,"A flattering, super cozy coat.  will work well for cold, dry days and will look good with jeans or a dressier outfit.  i am 5' 5'', about 135 and the small fits great.",5,1,0,General,Jackets,Outerwear
106,836,47,Beautiful shirt but runs small!,Was so excited to order this beautiful shirt!  and the color sky is gorgeous!  but as another reviewer said--it runs small.  it was also way too short.  so sadly i will be returning this.  i gave it 5 stars because it is beautiful and great quality--it just didn't fit me.,4,1,11,General,Tops,Blouses
212,1075,52,Classic,"I was so excited about the arrival of my maza dress. much to my surprise the material was not has structured as i thought it would be from the photos. the fit was very tight and did not fall as nicely as i anticipated. because i loved the classic design i decided to give it another chance so i returned it for the next size up and fell in love, the open sleeve was a nice surprise with a touch if elegance. the front buttons added a bit of old charm and feminine
appeal. while the material was not v",4,1,3,General,Dresses,Dresses
376,862,37,Just okay,"I was looking for a basic tee, but this one was just ok...the quality is okay, but it us not as soft as i would have liked. unfortunately,  i will be returning this item.",3,0,0,General,Tops,Knits
638,620,47,Very cute and comfortable,I got the shorts and the blue motif they're really comfortable and will look cute with a tank top for the weekend.   they true to size them usually a size 4 to 6 and i got a small and that works.,4,1,2,General,Bottoms,Shorts
819,886,63,V-neck t,Way to v necked- other than that would be a nice go to top. needs a cami.,3,1,1,General Petite,Tops,Knits
869,886,52,,"I bought this tunic in black and am seriously considering buying it in more colors. it is so comfortable and very flattering. i am 5'11"", so many tunics are more like shirts on me, but this one is the perfect length to wear with leggings or pants. the v neck is a nice, feminine touch and i love the change in material around the edges.",5,1,6,General Petite,Tops,Knits
976,154,48,Cozy comfy beautiful top,I was initially attracted to the colors,5,1,1,Initmates,Intimate,Sleep
1041,949,42,Beautiful!,"I got the purple color and absolutely love it. i am 5'2"" but decided against the petite size and i wanted it to be a bit longer. i also went with the xxs as the xs was a bit too loose on the arm. it was definitely a splurge to buy the sweater but it looked so lovely!",5,1,0,General,Tops,Sweaters
1051,949,66,Nice cotton sweater,"Bought this is the blue, which is actually a very grey-blue.  i love cotton sweaters and they are not easy to find.  this one has lovely colors and unusual design, but is a bit too full.  that said, i am keeping it for the cotton/linen factor, alone.",4,1,0,General,Tops,Sweaters
1423,1081,47,"Great dress, too short","Dress is very pretty, but very short, almost tunic length.",3,1,0,General Petite,Dresses,Dresses
1501,860,52,~~so very retailer~~,"Absolutely beautiful - 
usually don't leave reviews here, but this top (material, beading, style) is so gorgeous i would be remiss if i didn't. i have a short torso, so the peplum hit me above the belly-button. it's very voluminous, but with the right pants and heels, it is a perfect outfit. as a full-time student, i'm apt to find retailer expensive - but this purchase was so very much worth it. in terms of sizing- i initially got the s to accommodate my bust (30f) but preferred the xs.",5,1,0,General,Tops,Knits
1543,1122,62,Madly in love!,"This is a favulous cape...in fact i would buy another if there were other colors! it is oversized, playful, chic, dramatic and simply put a true statement piece. it will not be flattering to your figure...it is not suppose to...but it will show your true sense of style! wish it had pockets...i may add them for more play.",5,1,2,General,Jackets,Outerwear
1832,1080,37,,"This dress is extremely comfortable and easy to wear with a bra. the back is great and the length is perfect for me. it's flattering, but the pattern (being light in color across the middle) isn't particularly flattering on your waist. that being said though, the gathering in front is great for hiding bumps and whatnot (after 3 kids that's important to me). lightweight and great for summer. 5'8"", 135lbs and the size s fit perfectly.",4,1,10,General,Dresses,Dresses
1898,1035,38,Great fit,"I love love love the fit in the corduroy, so thought about grabbing these jeans as well. they fit much pretty well, just the color wasn't quite right. i'm really picky about the blueness of my jeans, and these don't quite match the coloring in the photo. still debating whether to keep them. love the cuff styling and straight leg fit!",4,1,1,General,Bottoms,Jeans
2081,912,32,,,5,1,0,General,Tops,Fine gauge
2168,867,36,Beautiful,Fits great! love soft material. love with skinny jeans brown boots,5,1,0,General Petite,Tops,Knits
2267,418,46,Great summer pajama pants.,"I like having lightweight summer pajamas, and these are perfect. the print is so much cuter in person and the fabric is wonderfully silky. the pants themselves seemed to run a little bit small. i ordered them in xs and s and ended up keeping the small. overall a great purchase.",5,1,0,Initmates,Intimate,Sleep
2279,1072,46,Adorable,"This multi-season dress fits beautifully, the colors are vibrant and the skirt has a nice weight, drape and swing to it. the skirt is slightly asymmetrical as some reviewers noted but it's probably not noticeable to anyone but the wearer.",5,1,0,General Petite,Dresses,Dresses
2339,835,32,This shirt got me a job,Wore it to an interview. the color is fantastic. it's beautiful and artsy. highly recommend!,5,1,0,General,Tops,Blouses
2580,1089,41,Gorgeous!,"Oh my, i just received my dress and it is gorgeous!. i was a little skeptical with the reviews but i am on the slender side so perhaps that is the body type it works for. i am 34b with a 25 waist. i got a size 0 and it fits well. i am 5'5"" and the length is good too, not too long. i could wear reasonable heel/wedges. it is a great class, sophisticated look. the material is great quality. i can't wait for an occasion to wear it to!",5,1,0,General Petite,Dresses,Dresses
2582,1089,41,Do not buy this dress,"I should have heeded the previous reviewer's advice. but i'm really short so i thought i'd give it a try. there is something really wrong with the bust. first, it's about 3-4 inches higher than it should be. the bottom trim cut across the middle of my bust. even if i hoisted everthing up in there to fit the cups, they are really only designed to fit cones, not curves. from the side it looked hideous. too bad, because the fabric and fit everywhere else is gorgeous.",1,0,17,General Petite,Dresses,Dresses
2614,1085,50,Definitely a summer dress,This dress is tricky. the fabric is very thin and the under slip it comes with runs small. i wear it with my yoga shorts underneath. the fabric is a very thin linen. my husband loves me in this dress so that a huge pro. its very light and cool perfect for the summer time.,3,1,2,General Petite,Dresses,Dresses
2806,827,26,Love this too,"Such a cute top. does run slightly big, depending on how loose you want it to be. for such a simple design, the quality is great.",5,1,0,General,Tops,Blouses
2848,429,23,Pretty but poor quality,When these shorts arrived i loved them and was so excited to wear them on my upcoming trip to the beach. the high rise waist is very flattering and the material was extremely soft. the floral detailing was a little more orange than in the picture but i still loved the contrast. the first time i wore these i immediately noticed threads coming loose throughout the day. it was minor but still concerning for an item that was so costly. the real problem arose in the evening when i put on a jacket on,3,0,3,General,Bottoms,Shorts
2978,1094,35,,Love embroidery!,5,1,0,General,Dresses,Dresses
3039,1092,52,"Transitional, versitile, and well-made dress","It was the color that prompted me to take this dress to the fitting room. as seen in the photos, it is a deep burgundy or dark maroon. though the color is deep and rich, the design of the dress makes it lighter and easily able to be worn during the heat of the summer. 

in the later months of summer and early fall, i will wear this dress without leggings for a transitional look. when the temps cool down, though, i will wear leggings or tights throughout the winter with the dress. it will easil",5,1,17,General,Dresses,Dresses
3070,895,45,,"I passed this over on first sight because it looked like it might be on the short side in length. after seeing a few other photos and reading the reviews, i opted to give it a go. the store did not have my usual xs or even a size small, so i tried on the medium. it was too wide as expected, but the shoulders are adjustable so i fiddled with it a bit and decided it was really cute. there were no more xs available to order so i asked if the store could order the small. it arrived and is absolutely",4,1,1,General,Tops,Fine gauge
3169,909,50,Super cozy,Wow great soft feels great but not too clingy. only thing keeping from 5 start is that it will pill some. the sleeves are not fuzzy so they don't pill but body will/does.,4,1,0,General,Tops,Fine gauge
3309,860,62,,"The colors on this top are beautiful, even more vibrant than the online picture. i was so excited to try it on. the problem is with the fitting. it's too short and too loose. you can see in the picture that the shirt isn't even tucked in and it barely hits the hips. as much as i wanted it to work, back it goes.",3,0,4,General,Tops,Knits
3349,836,43,Wearable,"I love this shirt. great mix of chic, comfortable and feminine! can wear for many occasions!",5,1,0,General Petite,Tops,Blouses
3358,860,61,Nice tunic,"This fits me more like a tunic so i wear it with jeggings. i am 5'4 and usually a 10-12 petite and the s fit well.
the arms are stretchy which i like since i have an athletic build. love the butterfly pattern !",5,1,0,General,Tops,Knits
3486,854,62,Sweet on embroidery,Soft. fitted without being tight. flattering neckline. nice embroidery.,5,1,0,General,Tops,Knits
3592,1077,49,Great fun and versatile dress,"I love this dress.i have it in black and am about to buy it in the blue..i'm usually a 4 but i bought a size 2. it is light and flattering with the gathering above the waist....does tend to crease a bit, but it's not too bad. love the way it can be dressed up or down (think boots or vans or sandles). i will dress it up to go out, but also throw it on to pick the kids up from school.",5,1,1,General,Dresses,Dresses
3648,1094,39,Just agreeing,"Just agreeing with all the good reviews.  love the color, feel, fit and versatility.  you can look sexy or modest depending on your underpinnings and accessories.  drapes over and disguises my figure flaws.  this is a three season dress for me and i look forward to having this in my rotation in the years to come.  i bought regular hem instead of petite.",5,1,0,General,Dresses,Dresses
3655,912,28,Comfortable but boxy shape,"I was pleased with the fabric and lace, and the arms fit me nicely. the only problem was that the bottom of the sweater was very boxy and not flattering. i am having the sides taken in to fix.",4,1,0,General Petite,Tops,Fine gauge
3665,872,33,Easy everyday wear,This shirt fits great. normally wear an xs or a small and a small fits in this. comfortable and cute on. i wish i had ordered the other color as well.,4,1,0,General Petite,Tops,Knits
3753,1080,59,Gorgeous but small on top,I normally wear 0 in retailer dresses. the bottom is roomy but top from band up runs small. i bought a 2 and love it. i plan to wear it to a wedding.,5,1,1,General Petite,Dresses,Dresses
4090,1098,62,Tricky but cute,"I was immediately drawn to this dress when i saw it in the store. i'm normally a size 2 but i feel like the size two was too constricting in the chest and arms, so found a size 4 to be just right. it's longer and a bit wider than the size 2 everywhere else, but given the design, i thought it was fine. the main thing to note is that the top is snug and has no give whatsoever. if you have a larger bust or broader shoulders, sizing up is a must. lengthwise, it fit me like it does on the model. (i t",4,1,0,General Petite,Dresses,Dresses
4120,121,32,"Lovely top, but too tight",The top is a pretty design. it's a low v-neck. but it would be nice for layering. it was just way to tight. runs small. order up a size.,4,0,0,Initmates,Intimate,Layering
4207,860,63,Great netural top.,"This top is simple but beautiful. i am either a large or xl but purchased this in the xl. it is a swing top, but has a beautiful flow to it which is not overbearing. i am around 5'6"" and slightly on the broad side and do not feel overpowered by this shirt at all.
i love a top that can be worn everyday with a pair of jeans or dressed up with a pair of slacks. the plus to this top is that it can born worn almost year round which i like.
a great staple for your closet.",5,1,0,General Petite,Tops,Knits
4532,820,45,,,5,1,0,General,Tops,Blouses
4572,820,32,My new favorite shirt,"I got the navy blue pattern and i absolutely love it. it's soft and cozy and just dressy enough to pull an outfit together.  i initially sized up to a 10 based on other reviews but exchanged it for an 8, my normal size. it's flowy so the bigger size was way too much fabric. in the 8 it's just right for the style.",5,1,0,General,Tops,Blouses
